Figure 5 data,,WE Area,1.036141239,cm^2,,,,,,,,,,,,,
0.1 V/s,,,0.2 V/s,,,0.3 V/s,,,0.5 V/s,,,0.7 V/s,,,1.0 V/s,,
-0.466003,-0.00110999,-1.071272871,-0.466003,-0.00110291,-1.064439825,-0.466003,-0.00212948,-2.055202437,-0.466003,-0.0029217,-2.819789319,-0.466003,-0.00353688,-3.413511465,-0.466003,-0.00471709,-4.552555019
-0.467072,-0.0011115,-1.072730201,-0.467072,-0.00110167,-1.063243077,-0.467072,-0.00212869,-2.054439992,-0.467072,-0.00291228,-2.810697894,-0.467072,-0.00352354,-3.400636772,-0.467072,-0.00471302,-4.548626983
-0.46814,-0.00111307,-1.074245438,-0.46814,-0.00110285,-1.064381918,-0.46814,-0.00212906,-2.054797086,-0.46814,-0.00290896,-2.807493698,-0.46814,-0.00352627,-3.403271548,-0.46814,-0.0047094,-4.545133251
-0.469208,-0.00111441,-1.075538698,-0.469208,-0.00110426,-1.065742737,-0.469208,-0.00212882,-2.054565458,-0.469208,-0.00291557,-2.813873137,-0.469208,-0.00352368,-3.400771889,-0.469208,-0.00471471,-4.550258035
-0.470276,-0.00111556,-1.076648586,-0.470276,-0.00110747,-1.06884077,-0.470276,-0.00212855,-2.054304876,-0.470276,-0.0029199,-2.818052104,-0.470276,-0.00352287,-3.399990142,-0.470276,-0.00472329,-4.558538759
-0.471344,-0.00111663,-1.077681263,-0.471344,-0.001115,-1.076108119,-0.471344,-0.00211894,-2.045030078,-0.471344,-0.00291431,-2.812657087,-0.471344,-0.00351632,-3.39366861,-0.471344,-0.00471865,-4.554060605
-0.472412,-0.00111797,-1.078974523,-0.472412,-0.00111873,-1.079708014,-0.472412,-0.0021181,-2.044219378,-0.472412,-0.00290095,-2.799763092,-0.472412,-0.00350923,-3.386825914,-0.472412,-0.00471617,-4.551667109
-0.47348,-0.0011194,-1.080354644,-0.47348,-0.00111936,-1.080316039,-0.47348,-0.00212371,-2.049633698,-0.47348,-0.00289611,-2.795091914,-0.47348,-0.00351174,-3.389248363,-0.47348,-0.004707,-4.542816964
-0.474548,-0.00112075,-1.081657555,-0.474548,-0.00111783,-1.078839407,-0.474548,-0.00212614,-2.051978938,-0.474548,-0.00289795,-2.796867734,-0.474548,-0.00351453,-3.391941046,-0.474548,-0.00470155,-4.537557064
-0.475616,-0.00112179,-1.082661279,-0.475616,-0.00111344,-1.074602533,-0.475616,-0.00212046,-2.04649706,-0.475616,-0.00289689,-2.795844707,-0.475616,-0.00351944,-3.396679783,-0.475616,-0.00469583,-4.532036581
-0.476685,-0.00112249,-1.083336863,-0.476685,-0.00110919,-1.070500775,-0.476685,-0.00212696,-2.052770336,-0.476685,-0.002886,-2.785334557,-0.476685,-0.00352001,-3.397229901,-0.476685,-0.00469558,-4.531795301
-0.477753,-0.00112296,-1.083790469,-0.477753,-0.0011069,-1.068290652,-0.477753,-0.00212598,-2.051824519,-0.477753,-0.00288194,-2.781416172,-0.477753,-0.00351825,-3.395531291,-0.477753,-0.00469598,-4.532181349
-0.478821,-0.00112325,-1.084070354,-0.478821,-0.00110797,-1.069323329,-0.478821,-0.00211892,-2.045010776,-0.478821,-0.00288443,-2.783819319,-0.478821,-0.00351945,-3.396689434,-0.478821,-0.00469652,-4.532702513
-0.479889,-0.00112396,-1.084755589,-0.479889,-0.00111532,-1.076416957,-0.479889,-0.00212055,-2.04658392,-0.479889,-0.00288875,-2.787988635,-0.479889,-0.00351515,-3.39253942,-0.479889,-0.00470144,-4.537450901
-0.480957,-0.00112529,-1.086039197,-0.480957,-0.00112122,-1.082111161,-0.480957,-0.00212574,-2.05159289,-0.480957,-0.00288531,-2.784668624,-0.480957,-0.00351854,-3.395811175,-0.480957,-0.00470276,-4.538724858
-0.482025,-0.00112709,-1.087776412,-0.482025,-0.00112494,-1.085701406,-0.482025,-0.0021229,-2.048851951,-0.482025,-0.00288146,-2.780952915,-0.482025,-0.00352241,-3.399546187,-0.482025,-0.00469937,-4.535453103
-0.483093,-0.00112951,-1.090112001,-0.483093,-0.00112565,-1.08638664,-0.483093,-0.00212212,-2.048099158,-0.483093,-0.00288396,-2.783365713,-0.483093,-0.0035255,-3.402528406,-0.483093,-0.00470379,-4.539718931
-0.484161,-0.00113202,-1.092534451,-0.484161,-0.00112491,-1.085672452,-0.484161,-0.0021261,-2.051940333,-0.484161,-0.002889,-2.788229915,-0.484161,-0.00352975,-3.406630164,-0.484161,-0.00470165,-4.537653576
-0.485229,-0.00113395,-1.094397131,-0.485229,-0.00112169,-1.082564768,-0.485229,-0.00213198,-2.057615235,-0.485229,-0.00288746,-2.786743631,-0.485229,-0.00351846,-3.395733966,-0.485229,-0.00469933,-4.535414499
-0.486298,-0.00113528,-1.09568074,-0.486298,-0.00112204,-1.082902559,-0.486298,-0.00212523,-2.051100679,-0.486298,-0.00287824,-2.77784523,-0.486298,-0.0035191,-3.396351642,-0.486298,-0.00469152,-4.527876916
-0.487366,-0.00113599,-1.096365975,-0.487366,-0.0011236,-1.084408146,-0.487366,-0.00212187,-2.047857878,-0.487366,-0.00287636,-2.776030806,-0.487366,-0.00351684,-3.394170472,-0.487366,-0.00469111,-4.527481217
-0.488434,-0.00113615,-1.096520394,-0.488434,-0.00112871,-1.089339906,-0.488434,-0.00212704,-2.052847545,-0.488434,-0.00288091,-2.780422099,-0.488434,-0.0035101,-3.387665568,-0.488434,-0.0046836,-4.520233171
-0.489502,-0.0011362,-1.09656865,-0.489502,-0.00113186,-1.092380032,-0.489502,-0.00212044,-2.046477757,-0.489502,-0.00288328,-2.782709432,-0.489502,-0.00350711,-3.384779861,-0.489502,-0.00467689,-4.51375722
-0.49057,-0.0011361,-1.096472138,-0.49057,-0.00113273,-1.093219686,-0.49057,-0.00211513,-2.041352973,-0.49057,-0.00287934,-2.778906862,-0.49057,-0.00349789,-3.37588146,-0.49057,-0.00467422,-4.511180351
-0.491638,-0.00113603,-1.09640458,-0.491638,-0.00113167,-1.092196659,-0.491638,-0.00211924,-2.045319614,-0.491638,-0.00287592,-2.775606153,-0.491638,-0.00350234,-3.380176241,-0.491638,-0.00467282,-4.509829184
-0.492706,-0.00113608,-1.096452836,-0.492706,-0.00113064,-1.091202586,-0.492706,-0.00211974,-2.045802174,-0.492706,-0.00287867,-2.778260232,-0.492706,-0.00349196,-3.370158302,-0.492706,-0.00466224,-4.49961822
-0.493774,-0.001136,-1.096375626,-0.493774,-0.0011279,-1.088558159,-0.493774,-0.00211834,-2.044451007,-0.493774,-0.00288321,-2.782641874,-0.493774,-0.00348311,-3.361616995,-0.493774,-0.004656,-4.493595875
-0.494843,-0.00113618,-1.096549347,-0.494843,-0.00113105,-1.091598285,-0.494843,-0.00211792,-2.044045656,-0.494843,-0.0028844,-2.783790366,-0.494843,-0.00348241,-3.360941412,-0.494843,-0.0046572,-4.494754019
-0.495911,-0.00113683,-1.097176675,-0.495911,-0.00113451,-1.094937598,-0.495911,-0.00211608,-2.042269837,-0.495911,-0.00287204,-2.77186149,-0.495911,-0.0034786,-3.357264307,-0.495911,-0.00465475,-4.492389476
-0.496979,-0.00113773,-1.098045283,-0.496979,-0.00113872,-1.099000751,-0.496979,-0.00210925,-2.035678071,-0.496979,-0.00286919,-2.7691109,-0.496979,-0.00348897,-3.367272595,-0.496979,-0.0046546,-4.492244708
-0.498047,-0.00113949,-1.099743893,-0.498047,-0.0011422,-1.102359366,-0.498047,-0.00210485,-2.031431546,-0.498047,-0.00286805,-2.768010664,-0.498047,-0.00348298,-3.36149153,-0.498047,-0.00465856,-4.496066581
-0.499115,-0.00114159,-1.101770643,-0.499115,-0.00114195,-1.102118086,-0.499115,-0.00210739,-2.033882949,-0.499115,-0.00286546,-2.765511005,-0.499115,-0.00348146,-3.360024548,-0.499115,-0.00466136,-4.498768915
-0.500183,-0.00114348,-1.103594719,-0.500183,-0.00114064,-1.10085378,-0.500183,-0.00210223,-2.028902933,-0.500183,-0.00285245,-2.752954801,-0.500183,-0.003474,-3.352824758,-0.500183,-0.0046663,-4.503536605
-0.501251,-0.00114514,-1.105196817,-0.501251,-0.00113866,-1.098942844,-0.501251,-0.00209901,-2.025795249,-0.501251,-0.00284699,-2.747685249,-0.501251,-0.00346862,-3.347632415,-0.501251,-0.00465683,-4.494396925
-0.502319,-0.00114616,-1.106181239,-0.502319,-0.00113654,-1.09689679,-0.502319,-0.00210335,-2.029983867,-0.502319,-0.0028533,-2.753775153,-0.502319,-0.00346433,-3.343492053,-0.502319,-0.00465526,-4.492881687
-0.503387,-0.00114664,-1.106644496,-0.503387,-0.00113902,-1.099290287,-0.503387,-0.00210816,-2.034626091,-0.503387,-0.00286018,-2.760415174,-0.503387,-0.00345726,-3.336668659,-0.503387,-0.00465207,-4.489802956
-0.504456,-0.00114681,-1.106808567,-0.504456,-0.00114327,-1.103392044,-0.504456,-0.00210116,-2.027870256,-0.504456,-0.00285759,-2.757915515,-0.504456,-0.00345503,-3.334516443,-0.504456,-0.00465189,-4.489629235
-0.505524,-0.00114648,-1.106490077,-0.505524,-0.00114827,-1.108217641,-0.505524,-0.00210188,-2.028565141,-0.505524,-0.00284746,-2.748138856,-0.505524,-0.00344925,-3.328938053,-0.505524,-0.0046461,-4.484041194
-0.506592,-0.00114645,-1.106461124,-0.506592,-0.00115171,-1.111537652,-0.506592,-0.00210772,-2.034201439,-0.506592,-0.00285187,-2.752395032,-0.506592,-0.00344947,-3.329150379,-0.506592,-0.00464485,-4.482834794
-0.50766,-0.00114698,-1.106972637,-0.50766,-0.00115277,-1.112560678,-0.50766,-0.00210567,-2.032222944,-0.50766,-0.00285753,-2.757857608,-0.50766,-0.00344625,-3.326042695,-0.50766,-0.00463812,-4.476339541
-0.508728,-0.00114773,-1.107696476,-0.508728,-0.00115193,-1.111749978,-0.508728,-0.00210162,-2.02831421,-0.508728,-0.00285661,-2.756969698,-0.508728,-0.00344121,-3.321178493,-0.508728,-0.00463962,-4.47778722
-0.509796,-0.00114872,-1.108651945,-0.509796,-0.00115071,-1.110572532,-0.509796,-0.00210517,-2.031740384,-0.509796,-0.00284633,-2.747048271,-0.509796,-0.00345386,-3.333387253,-0.509796,-0.00464002,-4.478173268
-0.510864,-0.00114981,-1.109703925,-0.510864,-0.00114807,-1.108024617,-0.510864,-0.00210336,-2.029993518,-0.510864,-0.00283408,-2.735225558,-0.510864,-0.00345535,-3.334825281,-0.510864,-0.00463552,-4.47383023
-0.511932,-0.00115048,-1.110350555,-0.511932,-0.00114829,-1.108236943,-0.511932,-0.00209952,-2.02628746,-0.511932,-0.00283377,-2.734926371,-0.511932,-0.00346035,-3.339650878,-0.511932,-0.00461879,-4.457683783
-0.513,-0.00115135,-1.111190209,-0.513,-0.00115158,-1.111412186,-0.513,-0.00209586,-2.022755123,-0.513,-0.00283887,-2.73984848,-0.513,-0.00346637,-3.345460897,-0.513,-0.00462234,-4.461109957
-0.514069,-0.0011521,-1.111914048,-0.514069,-0.00115547,-1.1151665,-0.514069,-0.00210246,-2.029124911,-0.514069,-0.0028294,-2.730708799,-0.514069,-0.00345829,-3.337662732,-0.514069,-0.00461611,-4.455097263
-0.515137,-0.00115282,-1.112608934,-0.515137,-0.00115803,-1.117637206,-0.515137,-0.00209792,-2.024743269,-0.515137,-0.00281369,-2.715546774,-0.515137,-0.00345875,-3.338106687,-0.515137,-0.00460556,-4.444915253
-0.516205,-0.00115367,-1.113429286,-0.516205,-0.00115942,-1.118978722,-0.516205,-0.00209509,-2.022011981,-0.516205,-0.00281774,-2.719455507,-0.516205,-0.0034493,-3.328986309,-0.516205,-0.00458859,-4.428537177
-0.517273,-0.00115438,-1.11411452,-0.517273,-0.00115792,-1.117531043,-0.517273,-0.00209665,-2.023517567,-0.517273,-0.00282468,-2.726153436,-0.517273,-0.00344148,-3.321439075,-0.517273,-0.00459175,-4.431586955
-0.518341,-0.00115495,-1.114664638,-0.518341,-0.00115522,-1.114925221,-0.518341,-0.00209464,-2.021577677,-0.518341,-0.00282431,-2.725796342,-0.518341,-0.00343986,-3.319875582,-0.518341,-0.00458919,-4.429116249
-0.519409,-0.00115536,-1.115060337,-0.519409,-0.00115297,-1.112753702,-0.519409,-0.00208625,-2.013480325,-0.519409,-0.00281252,-2.714417584,-0.519409,-0.00343031,-3.310658691,-0.519409,-0.0045807,-4.420922385
-0.520477,-0.00115523,-1.114934872,-0.520477,-0.00115401,-1.113757426,-0.520477,-0.0020893,-2.01642394,-0.520477,-0.00280695,-2.709041869,-0.520477,-0.00343266,-3.312926722,-0.520477,-0.00456768,-4.408356531
-0.521545,-0.00115542,-1.115118245,-0.521545,-0.00115683,-1.116479063,-0.521545,-0.00209041,-2.017495222,-0.521545,-0.0028196,-2.721250629,-0.521545,-0.00342619,-3.3066824,-0.521545,-0.00456599,-4.406725479
-0.522614,-0.00115604,-1.115716619,-0.522614,-0.0011617,-1.121179194,-0.522614,-0.00208632,-2.013547884,-0.522614,-0.0028218,-2.723373892,-0.522614,-0.00343053,-3.310871018,-0.522614,-0.00456631,-4.407034317
-0.523682,-0.00115688,-1.116527319,-0.523682,-0.00116585,-1.12518444,-0.523682,-0.00207928,-2.006753443,-0.523682,-0.00281163,-2.713558628,-0.523682,-0.00343194,-3.312231836,-0.523682,-0.00457416,-4.414610505
-0.52475,-0.00115826,-1.117859184,-0.52475,-0.00116736,-1.12664177,-0.52475,-0.00208567,-2.012920556,-0.52475,-0.00280296,-2.705191043,-0.52475,-0.00343574,-3.31589929,-0.52475,-0.00457563,-4.41602923
-0.525818,-0.00115975,-1.119297211,-0.525818,-0.00116522,-1.124576415,-0.525818,-0.00208213,-2.009504034,-0.525818,-0.0028017,-2.703974992,-0.525818,-0.00343816,-3.318234879,-0.525818,-0.00457348,-4.413954223
-0.526886,-0.00116097,-1.120474657,-0.526886,-0.00116123,-1.120725588,-0.526886,-0.00207609,-2.003674712,-0.526886,-0.00280839,-2.710431641,-0.526886,-0.00343202,-3.312309046,-0.526886,-0.0045712,-4.411753751
-0.527954,-0.00116219,-1.121652103,-0.527954,-0.0011581,-1.117704764,-0.527954,-0.00207621,-2.003790527,-0.527954,-0.00280677,-2.708868148,-0.527954,-0.00343935,-3.319383371,-0.527954,-0.00458141,-4.42160762
-0.529022,-0.00116314,-1.122568966,-0.529022,-0.00115707,-1.116710692,-0.529022,-0.00207944,-2.006907862,-0.529022,-0.00279447,-2.696997179,-0.529022,-0.00342606,-3.306556934,-0.529022,-0.00457535,-4.415758997
-0.53009,-0.00116385,-1.123254201,-0.53009,-0.00115889,-1.118467209,-0.53009,-0.00207233,-2.000045864,-0.53009,-0.00279007,-2.692750654,-0.53009,-0.00341889,-3.299637028,-0.53009,-0.00457451,-4.414948296
-0.531158,-0.00116455,-1.123929785,-0.531158,-0.00116413,-1.123524434,-0.531158,-0.00207395,-2.001609357,-0.531158,-0.00280051,-2.7028265,-0.531158,-0.00341071,-3.291742351,-0.531158,-0.00457286,-4.413355849
-0.532227,-0.00116504,-1.124402693,-0.532227,-0.00116815,-1.127404214,-0.532227,-0.00207941,-2.006878909,-0.532227,-0.00280233,-2.704583018,-0.532227,-0.00340152,-3.282872904,-0.532227,-0.00457309,-4.413577827
-0.533295,-0.00116549,-1.124836997,-0.533295,-0.00117049,-1.129662594,-0.533295,-0.00208417,-2.011472877,-0.533295,-0.00279573,-2.69821323,-0.533295,-0.00340327,-3.284561863,-0.533295,-0.00456415,-4.40494966
-0.534363,-0.00116551,-1.124856299,-0.534363,-0.00117016,-1.129344104,-0.534363,-0.00208327,-2.01060427,-0.534363,-0.00279341,-2.695974153,-0.534363,-0.00339328,-3.274920321,-0.534363,-0.00455553,-4.39663033
-0.535431,-0.00116508,-1.124441298,-0.535431,-0.00116769,-1.126960259,-0.535431,-0.00208776,-2.014937656,-0.535431,-0.00279639,-2.698850208,-0.535431,-0.00338384,-3.265809593,-0.535431,-0.00455222,-4.393435785
-0.536499,-0.00116503,-1.124393042,-0.536499,-0.00116679,-1.126091652,-0.536499,-0.00208883,-2.015970333,-0.536499,-0.00280275,-2.704988368,-0.536499,-0.0033754,-3.257663986,-0.536499,-0.00455203,-4.393252413
-0.537567,-0.00116563,-1.124972113,-0.537567,-0.00116683,-1.126130257,-0.537567,-0.00208156,-2.008953915,-0.537567,-0.00279579,-2.698271137,-0.537567,-0.00337413,-3.256438284,-0.537567,-0.00455767,-4.398695686
-0.538635,-0.0011668,-1.126101303,-0.538635,-0.00116933,-1.128543055,-0.538635,-0.00207509,-2.002709593,-0.538635,-0.00278128,-2.684267254,-0.538635,-0.00338117,-3.263232725,-0.538635,-0.00455772,-4.398743942
-0.539703,-0.00116871,-1.127944681,-0.539703,-0.00117411,-1.133156326,-0.539703,-0.00207924,-2.006714839,-0.539703,-0.00277999,-2.68302225,-0.539703,-0.00338099,-3.263059003,-0.539703,-0.00454597,-4.387403789
-0.540771,-0.00117062,-1.129788059,-0.540771,-0.00117506,-1.134073189,-0.540771,-0.00207413,-2.001783078,-0.540771,-0.00278351,-2.686419471,-0.540771,-0.00338415,-3.26610878,-0.540771,-0.00453797,-4.379682834
-0.54184,-0.0011722,-1.131312948,-0.54184,-0.00117495,-1.133967026,-0.54184,-0.00206971,-1.997517251,-0.54184,-0.00278235,-2.685299932,-0.54184,-0.00338097,-3.263039701,-0.54184,-0.00453311,-4.374992354
-0.542908,-0.00117327,-1.132345626,-0.542908,-0.00117399,-1.133040512,-0.542908,-0.00207156,-1.999302722,-0.542908,-0.0027709,-2.674249315,-0.542908,-0.00338256,-3.264574241,-0.542908,-0.00453528,-4.377086663
-0.543976,-0.00117365,-1.132712371,-0.543976,-0.00117236,-1.131467367,-0.543976,-0.00207167,-1.999408885,-0.543976,-0.00276474,-2.66830418,-0.543976,-0.00338604,-3.267932856,-0.543976,-0.00453575,-4.377540269
-0.545044,-0.0011734,-1.132471091,-0.545044,-0.00117234,-1.131448065,-0.545044,-0.00206593,-1.993869099,-0.545044,-0.00276664,-2.670137907,-0.545044,-0.00338013,-3.262229001,-0.545044,-0.00453952,-4.381178769
-0.546112,-0.00117296,-1.132046439,-0.546112,-0.00117337,-1.132442138,-0.546112,-0.00206708,-1.994978987,-0.546112,-0.00277527,-2.678466887,-0.546112,-0.00338089,-3.262962491,-0.546112,-0.00453575,-4.377540269
-0.54718,-0.00117232,-1.131428762,-0.54718,-0.00117519,-1.134198655,-0.54718,-0.00206764,-1.995519454,-0.54718,-0.00277259,-2.675880367,-0.54718,-0.00337164,-3.254035137,-0.54718,-0.00453047,-4.372444439
-0.548248,-0.00117203,-1.131148878,-0.548248,-0.00117845,-1.137344944,-0.548248,-0.00206387,-1.991880954,-0.548248,-0.00276259,-2.666229173,-0.548248,-0.00336298,-3.245677203,-0.548248,-0.0045224,-4.364655925
-0.549316,-0.00117216,-1.131274343,-0.549316,-0.00118098,-1.139786696,-0.549316,-0.00205979,-1.987943266,-0.549316,-0.00276479,-2.668352436,-0.549316,-0.00335785,-3.240726141,-0.549316,-0.00451829,-4.360689284
-0.550385,-0.00117312,-1.132200858,-0.550385,-0.00118247,-1.141224724,-0.550385,-0.00206398,-1.991987117,-0.550385,-0.00276676,-2.670253721,-0.550385,-0.00334574,-3.229038545,-0.550385,-0.00451838,-4.360776145
-0.551453,-0.00117515,-1.13416005,-0.551453,-0.00118271,-1.141456353,-0.551453,-0.00206308,-1.991118509,-0.551453,-0.00276455,-2.668120807,-0.551453,-0.00334813,-3.23134518,-0.551453,-0.00451017,-4.352852515
-0.552521,-0.00117791,-1.13682378,-0.552521,-0.00118147,-1.140259605,-0.552521,-0.0020593,-1.987470358,-0.552521,-0.00275728,-2.661104389,-0.552521,-0.00335389,-3.236904268,-0.552521,-0.00450943,-4.352138327
-0.553589,-0.00118034,-1.13916902,-0.553589,-0.00118055,-1.139371695,-0.553589,-0.00205679,-1.985047908,-0.553589,-0.00274956,-2.653653667,-0.553589,-0.00335508,-3.23805276,-0.553589,-0.00450991,-4.352601584
-0.554657,-0.00118214,-1.140906235,-0.554657,-0.00118234,-1.141099258,-0.554657,-0.00205982,-1.98797222,-0.554657,-0.00275732,-2.661142994,-0.554657,-0.00335936,-3.242183471,-0.554657,-0.00450837,-4.3511153
-0.555725,-0.00118272,-1.141466004,-0.555725,-0.00118222,-1.140983444,-0.555725,-0.00205633,-1.984603953,-0.555725,-0.00276204,-2.665698357,-0.555725,-0.00335524,-3.238207179,-0.555725,-0.00451491,-4.357427181
-0.556793,-0.00118236,-1.141118561,-0.556793,-0.00118371,-1.142421472,-0.556793,-0.00205612,-1.984401278,-0.556793,-0.00275462,-2.658537171,-0.556793,-0.00335919,-3.242019401,-0.556793,-0.00451327,-4.355844385
-0.557861,-0.00118169,-1.140471931,-0.557861,-0.00118742,-1.146002065,-0.557861,-0.00205741,-1.985646282,-0.557861,-0.00274914,-2.653248317,-0.557861,-0.00336047,-3.243254753,-0.557861,-0.00451454,-4.357070087
-0.558929,-0.00118119,-1.139989371,-0.558929,-0.00118857,-1.147111952,-0.558929,-0.00205297,-1.981361152,-0.558929,-0.00275554,-2.659425081,-0.558929,-0.00335015,-3.233294721,-0.558929,-0.00451676,-4.359212652
-0.559998,-0.00118114,-1.139941115,-0.559998,-0.00118791,-1.146474973,-0.559998,-0.00205152,-1.979961729,-0.559998,-0.00276462,-2.668188365,-0.559998,-0.00334208,-3.225506208,-0.559998,-0.0045117,-4.354329148
-0.561066,-0.00118152,-1.140307861,-0.561066,-0.00118768,-1.146252996,-0.561066,-0.00205788,-1.986099888,-0.561066,-0.00276572,-2.669249997,-0.561066,-0.0033341,-3.217804555,-0.561066,-0.00450183,-4.344803419
-0.562134,-0.00118175,-1.140529838,-0.562134,-0.00118723,-1.145818692,-0.562134,-0.00205789,-1.98610954,-0.562134,-0.00275744,-2.661258808,-0.562134,-0.00333236,-3.216125247,-0.562134,-0.00449675,-4.339900613
-0.563202,-0.00118194,-1.140713211,-0.563202,-0.00118897,-1.147498,-0.563202,-0.0020563,-1.984575,-0.563202,-0.00275409,-2.658025658,-0.563202,-0.00332835,-3.212255119,-0.563202,-0.00448766,-4.331127678
-0.56427,-0.00118205,-1.140819374,-0.56427,-0.00119077,-1.149235215,-0.56427,-0.00206298,-1.991021997,-0.56427,-0.00276371,-2.667310107,-0.56427,-0.00332772,-3.211647093,-0.56427,-0.00448843,-4.331870819
-0.565338,-0.00118226,-1.141022049,-0.565338,-0.00119379,-1.152149875,-0.565338,-0.0020685,-1.996349456,-0.565338,-0.00276434,-2.667918132,-0.565338,-0.00333084,-3.214658266,-0.565338,-0.00448774,-4.331204887
-0.566406,-0.00118292,-1.141659028,-0.566406,-0.00119676,-1.15501628,-0.566406,-0.0020655,-1.993454098,-0.566406,-0.0027531,-2.65707019,-0.566406,-0.00333112,-3.214928499,-0.566406,-0.00448063,-4.324342888
-0.567474,-0.00118401,-1.142711008,-0.567474,-0.00119651,-1.154775,-0.567474,-0.00205949,-1.987653731,-0.567474,-0.0027478,-2.651955057,-0.567474,-0.00334661,-3.229878199,-0.567474,-0.00447579,-4.31967171
-0.568542,-0.00118506,-1.143724383,-0.568542,-0.0011954,-1.153703718,-0.568542,-0.00206416,-1.992160838,-0.568542,-0.00274678,-2.650970635,-0.568542,-0.00334246,-3.225872953,-0.568542,-0.00447294,-4.31692112
-0.569611,-0.00118596,-1.144592991,-0.569611,-0.00119552,-1.153819532,-0.569611,-0.00206457,-1.992556537,-0.569611,-0.00275486,-2.6587688,-0.569611,-0.00334847,-3.231673321,-0.569611,-0.00446364,-4.30794551
-0.570679,-0.00118647,-1.145085202,-0.570679,-0.00119416,-1.15250697,-0.570679,-0.0020591,-1.987277334,-0.570679,-0.00275299,-2.656964027,-0.570679,-0.00334591,-3.229202615,-0.570679,-0.00446297,-4.30729888
-0.571747,-0.00118676,-1.145365086,-0.571747,-0.00119469,-1.153018483,-0.571747,-0.00206275,-1.99080002,-0.571747,-0.0027427,-2.647032948,-0.571747,-0.00334482,-3.228150635,-0.571747,-0.00446113,-4.30552306
-0.572815,-0.00118727,-1.145857297,-0.572815,-0.00119655,-1.154813605,-0.572815,-0.0020677,-1.995577361,-0.572815,-0.00274264,-2.646975041,-0.572815,-0.00334763,-3.23086262,-0.572815,-0.00445651,-4.301064209
-0.573883,-0.00118808,-1.146639044,-0.573883,-0.00119758,-1.155807678,-0.573883,-0.00206296,-1.991002695,-0.573883,-0.00275304,-2.657012283,-0.573883,-0.00333509,-3.218760023,-0.573883,-0.00446476,-4.309026444
-0.574951,-0.00118897,-1.147498,-0.574951,-0.00119922,-1.157390474,-0.574951,-0.00206279,-1.990838625,-0.574951,-0.0027582,-2.661992299,-0.574951,-0.00334461,-3.22794796,-0.574951,-0.00446583,-4.310059121
-0.576019,-0.00118992,-1.148414863,-0.576019,-0.001199,-1.157178147,-0.576019,-0.0020665,-1.994419217,-0.576019,-0.00274971,-2.653798435,-0.576019,-0.0033441,-3.227455749,-0.576019,-0.00446992,-4.31400646
-0.577087,-0.00119058,-1.149051842,-0.577087,-0.00119728,-1.155518142,-0.577087,-0.0020602,-1.988338965,-0.577087,-0.00274217,-2.646521435,-0.577087,-0.00334033,-3.223817249,-0.577087,-0.00447099,-4.315039137
-0.578156,-0.00119136,-1.149804635,-0.578156,-0.00119809,-1.156299889,-0.578156,-0.00205286,-1.981254989,-0.578156,-0.00274732,-2.6514918,-0.578156,-0.00333828,-3.221838754,-0.578156,-0.00446692,-4.311111101
-0.579224,-0.00119233,-1.150740801,-0.579224,-0.00120001,-1.158152918,-0.579224,-0.00205279,-1.981187431,-0.579224,-0.00275104,-2.655082044,-0.579224,-0.00333244,-3.216202457,-0.579224,-0.00447607,-4.319941944
-0.580292,-0.00119337,-1.151744525,-0.580292,-0.00120254,-1.16059467,-0.580292,-0.00205593,-1.984217906,-0.580292,-0.00274595,-2.650169586,-0.580292,-0.00334013,-3.223624225,-0.580292,-0.00448028,-4.324005096
-0.58136,-0.00119474,-1.153066739,-0.58136,-0.00120628,-1.164204217,-0.58136,-0.00205081,-1.979276494,-0.58136,-0.00273626,-2.64081758,-0.58136,-0.00333454,-3.218229208,-0.58136,-0.00448186,-4.325529985
-0.582428,-0.00119617,-1.15444686,-0.582428,-0.00120891,-1.166742481,-0.582428,-0.00204951,-1.978021839,-0.582428,-0.00273915,-2.643606775,-0.582428,-0.00334197,-3.225400045,-0.582428,-0.00447658,-4.320434155
-0.583496,-0.00119737,-1.155605003,-0.583496,-0.00120946,-1.167273296,-0.583496,-0.0020557,-1.983995928,-0.583496,-0.00274917,-2.653277271,-0.583496,-0.00333936,-3.222881083,-0.583496,-0.0044827,-4.326340685
-0.584564,-0.00119843,-1.156628029,-0.584564,-0.00120901,-1.166838993,-0.584564,-0.00205809,-1.986302563,-0.584564,-0.00275415,-2.658083565,-0.584564,-0.00333208,-3.215855014,-0.584564,-0.00448192,-4.325587892
-0.585632,-0.00119935,-1.157515939,-0.585632,-0.00120588,-1.163818169,-0.585632,-0.00205374,-1.982104294,-0.585632,-0.00274978,-2.653865994,-0.585632,-0.00333961,-3.223122363,-0.585632,-0.00448386,-4.327460224
-0.5867,-0.00120031,-1.158442454,-0.5867,-0.00120584,-1.163779564,-0.5867,-0.00206086,-1.988975944,-0.5867,-0.00274773,-2.651887499,-0.5867,-0.00333692,-3.220526192,-0.5867,-0.00448735,-4.330828491
-0.587769,-0.00120136,-1.159455829,-0.587769,-0.00120715,-1.165043871,-0.587769,-0.00206073,-1.988850479,-0.587769,-0.00275824,-2.662030904,-0.587769,-0.00334565,-3.228951684,-0.587769,-0.00448231,-4.325964289
-0.588837,-0.00120186,-1.159938389,-0.588837,-0.00121131,-1.169058767,-0.588837,-0.00205655,-1.98481628,-0.588837,-0.00276891,-2.672328728,-0.588837,-0.00333675,-3.220362121,-0.588837,-0.00448929,-4.332700822
